Abstract	Classification
[juvenile pompe disease: retrospective clinical study].  pompe disease or glycogen storage disease type ii is an autosomal recessive disorder due to acid maltase deficiency. it is a rare disease with a prevalence of 1/40.000 in the dutch and african-american populations and 1/46000 in the australian population. there are three forms of clinical presentation (infantile-onset, childhood-onset and adult-onset), although the disease presents as a continuum of clinical phenotypes. enzyme replacement therapy is available in portugal since 2006. the clinical files of four patients (two sisters) were analyzed retrospectively. in all, disease presented in the second year of life and the time to diagnosis ranged from two to eleven years. at diagnosis, all presented myopathic features with a delay in motor skills achievement and two had myocardium hypertrophy. clinical suspicion arose as the result of respiratory failure during infection in two patients. plasma creatine kinase and aminotransferases levels were increased in all. all patients progressed to pulmonary restrictive syndrome with chronic respiratory failure. the diagnosis was based on reduced activity of acid maltase in fibroblasts: 0 to 1.5% of the lower normal value. muscle biopsy, performed in three patients, showed lysosomal glycogen accumulation. a c.1064t > c mutation in exon 6 of gaa (glucosidase-alpha-acid) gene was found in all patients, in homozygosity in one. in the sisters, it was associated to c.1666a > g and c.2065g > a mutations in exons 12 and 15, respectively and in the youngest patient, to c.380g > t mutation in exon 2. all patients started enzyme replacement therapy as soon as it became available, with good tolerance. the youngest patient died. the surviving patients maintain ventilatory support measures and physiotherapy. the oldest patient is wheelchair ridden and her sister keeps independent walking. the youngest uses a walking aid. our cases are clinically included in the juvenile form of pompe disease. pompe disease should be suspected in progressive myopathies at any age, especially those involving limb-girdle and respiratory muscles and in small infants with cardiomyopathy. high creatine kinase is a sensitive, although nonspecific, marker. given the great variability of the genetic findings, demonstration of reduced activity of acid maltase (in leukocytes or other tissues) remains the diagnosis cornerstone of this rare disorder.	-1
runx1, but not its familial platelet disorder mutants, synergistically activates pf4 gene expression in combination with ets family proteins.  familial platelet disorder (fpd) is a rare autosomal dominant disease characterized by thrombocytopenia and abnormal platelet function. causal mutations have been identified in the gene encoding runt-related transcription factor 1 (runx1) of fpd patients. to elucidate the role of runx1 in the regulation of expression of platelet factor 4 (pf4) and to propose a plausible mechanism underlying runx1-mediated induction of the fpd phenotype. we assessed whether runx1 and its mutants, in combination with e26 transformation-specific-1 (ets-1), core-binding factor subunit beta (cbf?), and friend leukemia virus integration 1 (fli-1), cooperatively regulate pf4 expression during megakaryocytic differentiation. in an embryonic stem cell differentiation system, expression levels of endogenous and exogenous runx1 and pf4 were determined by real-time rt-pcr. promoter activation by the transcription factors were evaluated by reporter gene assays with hepg2 cells. dna binding activity and protein interaction were analyzed by electrophoretic mobility shift assay and immunoprecipitation assay with cos-7 cells, respectively. protein localization was analyzed by immunocytochemistry and western blotting with cos-7 cells. we demonstrated that runx1 activates endogenous pf4 expression in megakaryocytic differentiation. runx1, but not its mutants, in combination with ets-1 and cbf?, or fli-1, synergistically activated the pf4 promoter. each runx1 mutant harbors various functional abnormalities, including loss of dna-binding activity, abnormal subcellular localization, and/or alterations of binding affinities for ets-1, cbf?, and fli-1. runx1, but not its mutants, strongly and synergistically activates pf4 expression along with ets family proteins. furthermore, loss of the runx1 transcriptional activation function is induced by various functional abnormalities.	1
functional defects in six ryanodine receptor isoform-1 (ryr1) mutations associated with malignant hyperthermia and their impact on skeletal excitation-contraction coupling.  malignant hyperthermia (mh) is a potentially fatal pharmacogenetic disorder of skeletal muscle that segregates with >60 mutations within the mhs-1 locus on chromosome 19 coding for ryanodine receptor type 1 (ryr1). although some mhryr1s have been shown to enhance sensitivity to caffeine and halothane when expressed in non-muscle cells, their influence on ec coupling can only be studied in skeletal myotubes. we therefore expressed wtryr1, six of the most common human mhryr1s (r163c, g341r, r614c, r2163c, v2168m, and r2458h), and a newly identified c-terminal mutation (t4826i) in dyspedic myotubes to study their functional defects and how they influence ec coupling. myotubes expressing any mhryr1 were significantly more sensitive to stimulation by caffeine and 4-cmc than those expressing wtryr1. the hypersensitivity of mh myotubes extended to k+ depolarization. mh myotubes responded to direct channel activators with maximum ca2+ amplitudes consistently smaller than wt myotubes, whereas the amplitude of their responses to depolarization were consistently larger than wt myotubes. the magnitudes of responses attainable from myotubes expressing mhryr1s are therefore related to the nature of the stimulus rather than size of the ca2+ store. the functional changes of mhryr1s were directly analyzed using [3h]ryanodine binding analysis of isolated myotube membranes. although none of the mhryr1s examined significantly altered ec50 for ca2+ activation, many failed to be completely inhibited by a low ca2+ (<or=100 nm), and all were significantly more responsive to caffeine than wtryr1 at ca2+ concentrations that approximate those in resting myotubes. all seven mutations had diminished sensitivity to inhibition by ca2+ and mg2+. using a homologous expression system, our study demonstrates for the first time that these 7 mh mutations are all both necessary and sufficient to induce mh-related phenotypes. decreased sensitivity to ca2+ and mg2+ inhibition and inability of mhryr1s to be fully inactivated at [ca2+]i typical of normal myotubes at rest are key defects that contribute to the initiation of mh episodes.	1
usher syndrome: an effective sequencing approach to establish a genetic and clinical diagnosis.  usher syndrome is an autosomal recessive disorder characterized by retinitis pigmentosa, sensorineural hearing loss and, in some cases, vestibular dysfunction. the disorder is clinically and genetically heterogeneous and, to date, mutations in 11 genes have been described. this finding makes difficult to get a precise molecular diagnosis and offer patients accurate genetic counselling. to overcome this problem and to increase our knowledge of the molecular basis of usher syndrome, we designed a targeted resequencing custom panel. in a first validation step a series of 16 italian patients with known molecular diagnosis were analysed and 31 out of 32 alleles were detected (97% of accuracy). after this step, 31 patients without a molecular diagnosis were enrolled in the study. three out of them with an uncertain usher diagnosis were excluded. one causative allele was detected in 24 out 28 patients (86%) while the presence of both causative alleles characterized 19 patients out 28 (68%). sixteen novel and 27 known alleles were found in the following genes: ush2a (50%), myo7a (7%), cdh23 (11%), pcdh15 (7%) and ush1g (2%). overall, on the 44 patients the protocol was able to characterize 74 alleles out of 88 (84%). these results suggest that our panel is an effective approach for the genetic diagnosis of usher syndrome leading to: 1) an accurate molecular diagnosis, 2) better genetic counselling, 3) more precise molecular epidemiology data fundamental for future interventional plans.	-1
newborn screening for six lysosomal storage disorders in a cohort of mexican patients: three-year findings from a screening program in a closed mexican health system.  to evaluate the results of a lysosomal newborn screening (nbs) program in a cohort of 20,018 mexican patients over the course of 3years in a closed mexican health system (petrleos mexicanos [pemex] health services). using dried blood spots (dbs), we performed a multiplex tandem mass spectrometry enzymatic assay for six lysosomal storage disorders (lsds) including pompe disease, fabry disease, gaucher disease, mucopolysaccharidosis type i (mps-i), niemann-pick type a/b, and krabbe disease. screen-positive cases were confirmed using leukocyte enzymatic activity and dna molecular analysis. from july 2012 to april 2016, 20,018 patients were screened; 20 patients were confirmed to have an lsd phenotype (99.9 in 100,000 newborns). final distributions include 11 pompe disease, five fabry disease, two mps-i, and two niemann-pick type a/b patients. we did not find any gaucher or krabbe patients. a final frequency of 1 in 1001 lsd newborn phenotypes was established. nbs is a major public health achievement that has decreased the morbidity and mortality of inborn errors of metabolism. the introduction of nbs for lsd presents new challenges. this is the first multiplex latin-american study of six lsds detected through nbs.	-1
noonan syndrome caused by germline kras mutation in taiwan: report of two patients and a review of the literature.  noonan syndrome is a highly variable disorder that has significant phenotypic overlap with costello syndrome and cardio-facio-cutaneous syndrome. kras mutation was the second reported gene for noonan syndrome. this study screened for mutation of the kras gene in 57 unrelated ethnic chinese children suffering from noonan syndrome without ptpn11 gene mutation in taiwan. this work only identified two patients with different missense mutations (c.40g>a, p.val14ile; c.108a>g, p.ile36met) in the exon 1 of kras gene. this study also analyzed the characteristics of 34 reported cases involving kras mutations in the literature. all these patients presented with variable phenotypes, including noonan syndrome (n = 19), cardio-facio-cutaneous syndrome (n = 7), costello syndrome (n = 6), and noonan/cardio-facio-cutaneous syndrome (n = 1). the phenotype of kras mutations was generally severe, including short stature, mental retardation, heart defects, etc. in conclusion, this investigation demonstrates that kras mutations are the cause in a minority of cases of chinese patients with noonan syndrome in taiwan.	-1
polygenic versus monogenic causes of hypercholesterolemia ascertained clinically.  next-generation sequencing technology is transforming our understanding of heterozygous familial hypercholesterolemia, including revision of prevalence estimates and attribution of polygenic effects. here, we examined the contributions of monogenic and polygenic factors in patients with severe hypercholesterolemia referred to a specialty clinic. we applied targeted next-generation sequencing with custom annotation, coupled with evaluation of large-scale copy number variation and polygenic scores for raised low-density lipoprotein cholesterol in a cohort of 313 individuals with severe hypercholesterolemia, defined as low-density lipoprotein cholesterol >5.0 mmol/l (>194 mg/dl). we found that (1) monogenic familial hypercholesterolemia-causing mutations detected by targeted next-generation sequencing were present in 47.3% of individuals; (2) the percentage of individuals with monogenic mutations increased to 53.7% when copy number variations were included; (3) the percentage further increased to 67.1% when individuals with extreme polygenic scores were included; and (4) the percentage of individuals with an identified genetic component increased from 57.0% to 92.0% as low-density lipoprotein cholesterol level increased from 5.0 to >8.0 mmol/l (194 to >310 mg/dl). in a clinically ascertained sample with severe hypercholesterolemia, we found that most patients had a discrete genetic basis detected using a comprehensive screening approach that includes targeted next-generation sequencing, an assay for copy number variations, and polygenic trait scores.	-1
mutation and haplotype analysis of phenylalanine hydroxylase alleles in classical pku patients from the czech republic: identification of four novel mutations.  mutations, haplotypes, and other polymorphic markers in the phenylalanine hydroxylase (pah) gene were analysed in 133 unrelated czech families with classical phenylketonuria (pku). almost 95% of all mutant alleles were identified, using a combination of pcr and restriction analysis, denaturing gradient gel electrophoresis (dgge), and sequencing. a total of 30 different mutations, 16 various rflp/vntr haplotypes, and four polymorphisms were detected on 266 independent mutant chromosomes. the most common molecular defect observed in the czech population was r408w (54.9%). each of the other 29 mutations was present in no more than 5% of alleles and 13 mutations were found in only one pku allele each (0.4%). four novel mutations g239a, r270fsdel5bp, a342p, and ivs11nt-8g-->a were identified. in 14 (5.1%) alleles, linked to four different rflp/vntr haplotypes, the sequence alterations still remain unknown. our results confirm that pku is a heterogeneous disorder at the molecular level. since there is evidence for the gene flow coming from northern, western, and southern parts of europe into our slavic population, it is clear that human migration has been the most important factor in the spread of pku alleles in europe.	-1
predicting pten mutations: an evaluation of cowden syndrome and bannayan-riley-ruvalcaba syndrome clinical features.  cowden syndrome (cs) is associated with benign hamartomatous lesions and risks for thyroid, breast and endometrial cancers. bannayan-riley-ruvalcaba syndrome is an allelic disorder characterised by macrocephaly, intestinal polyps, lipomas, and pigmented penile macules. diagnostic criteria for cs are based on the presence of a range of clinical features. however, prior data on the component clinical features have been based primarily on compilations of cases reported before development of consensus diagnostic criteria. this study sought to determine the clinical features most predictive of a mutation in the largest single cohort of patients with clinical testing for pten mutations reported to date. molecular and clinical data were reviewed on 802 patients referred for pten analysis by a single laboratory. deleterious mutations were found in 172 (21.4%) subjects. among mutation carriers significant differences from previous reports were found for the frequencies of several clinical features, including macrocephaly, uterine fibroids, benign breast disease, and endometrial cancer. logistic regression analyses indicated that female mutation carriers were best identified by the presence of macrocephaly, endometrial cancer, trichilemmomas, papillomatous papules, breast cancer, benign thyroid disease, and benign gastrointestinal (gi) lesions. for males, the most discriminating features were macrocephaly, lipomas, papillomatous papules, penile freckling, benign gi lesions, and benign thyroid disease. age related differences were also identified. the mutation frequency in patients meeting cs diagnostic criteria (34%) was significantly lower than previously reported, suggesting a need for reevaluation of these criteria. a mutation prediction model has been developed which can help identify patients appropriate for pten testing in clinical practice.	-1
high cumulative risks of cancer in patients with pten hamartoma tumour syndrome.  pten hamartoma tumour syndrome (phts) encompasses several clinical syndromes with germline mutations in the pten tumour suppressor gene, including cowden syndrome which is characterised by an increased risk of breast and thyroid cancers. because phts is rare, data regarding cancer risks and genotype-phenotype correlations are limited. the objective of this study was to better define cancer risks in this syndrome with respect to the type and location of pten mutations. 154 phts individuals with a deleterious germline pten mutation were recruited from the activity of the institut bergoni genetic laboratory. detailed phenotypic information was obtained for 146 of them. age and sex adjusted standardised incidence ratio (sir) calculations, cumulative cancer risk estimations, and genotype-phenotype analyses were performed. elevated sirs were found mainly for female breast cancer (39.1, 95% ci 24.8 to 58.6), thyroid cancer in women (43.2, 95% ci 19.7 to 82.1) and in men (199.5, 95% ci 106.39 to 342.03), melanoma in women (28.3, 95% ci 7.6 to 35.4) and in men (39.4, 95% ci 10.6 to 100.9), and endometrial cancer (48.7, 95% ci 9.8 to 142.3). cumulative cancer risks at age 70 were 85% (95% ci 70% to 95%) for any cancer, 77% (95% ci 59% to 91%) for female breast cancer, and 38% (95% ci 25% to 56%) for thyroid cancer. the risk of cancer was two times greater in women with phts than in men with phts (p<0.05). this study shows a considerably high cumulative risk of cancer for patients with phts, mainly in women without clear genotype-phenotype correlation for this cancer risk. new recommendations for the management of phts patients are proposed.	-1
molecular analysis of the pds gene in pendred syndrome.  pendred syndrome is an autosomal recessive disorder characterized by the association between sensorineural hearing loss and thyroid swelling or goitre and is likely to be the most common form of syndromic deafness. within the thyroid gland of affected individuals, iodide is incompletely organified with variable effects upon thyroid hormone biosynthesis, whilst the molecular basis of the hearing loss is unknown. the pds gene has been identified by positional cloning of chromosome 7q31, within the pendred syndrome critical linkage interval and encodes for a putative ion transporter called pendrin. we have investigated a cohort of 56 kindreds, all with features suggestive of a diagnosis of pendred syndrome. molecular analysis of the pds gene identified 47 of the 60 (78%) mutant alleles in 31 families (includes three homozygous consanguineous kindreds and one extended family segregating three mutant alleles). moreover, four recurrent mutations accounted for 35 (74%) of pds disease chromosomes detected and haplotype analysis would favour common founders rather than mutational hotspots within the pds gene. whilst these findings demonstrate molecular heterogeneity for pds mutations associated with pendred syndrome, this study would support the use of molecular analysis of the pds gene in the assessment of families with congenital hearing loss.	-1
a silent mutation induces exon skipping in the phenylalanine hydroxylase gene in phenylketonuria.  an a-->t substitution in cdna nucleotide 1197 (c.1197a/t) of the human phenylalanine hydroxylase (pah) gene has been regarded as a silent mutation, because both the wild-type (gua) and the mutant (guu) alleles encode a valine residue at codon 399 (v399 v). the nucleotide c.1197 is located at the 3'-end of exon 11at position -3 of the exon-intron junction. to explore whether the substitution exerts any effects on the processing of the pah mrna, illegitimate pah transcripts from lymphoblast cultures of a phenylketonuria (pku) patient heterozygous for c.1197a/t were analyzed by the polymerase chain reaction following reverse-transcription (rt-pcr). mrnas with an exon 11 deletion were revealed. furthermore, by using an r408 w mutation in the paternal allele as a marker, sequence analysis of the rt-pcr products indicates that virtually all pah transcripts from the maternal allele with the c. 1197a/t substitution do not contain exon 11. to address whether this substitution is the main determinant for exon skipping, pah minigenes with or without the substitution were constructed and transfected to a human hepatoma cell line. analysis of the transcription products by s1 nuclease mapping clearly indicated that such exon 11 skipping was directly associated with the c.1197a/t substitution. thus, this study demonstrates that the c.1197a/t substitution in the pah gene is not just a neutral polymorphism but a mutation that induces post-transcriptional skipping of exon 11 leading to a pku phenotype.	1
a human mybpc3 mutation appearing about 10 centuries ago results in a hypertrophic cardiomyopathy with delayed onset, moderate evolution but with a risk of sudden death.  hypertrophic cardiomyopathy (hcm) is a genetically heterogeneous disease. one specific mutation in the mybpc3 gene is highly prevalent in center east of france giving an opportunity to define the clinical profile of this specific mutation. hcm probands were screened for mutation in the myh7, mybpc3, tnnt2 and tnni3 genes. carriers of the mybpc3 ivs20-2a>g mutation were genotyped with 8 microsatellites flanking this gene. the age of this mybpc3 mutation was inferred with the software estiage. the age at first symptom, diagnosis, first complication, first severe complication and the rate of sudden death were compared between carriers of the ivs20-2 mutation (group a) and carriers of all other mutations (group b) using time to event curves and log rank test. out of 107 hcm probands, 45 had a single heterozygous mutation in one of the 4 tested sarcomeric genes including 9 patients with the mybpc3 ivs20-2a>g mutation. the ivs20-2 mutation in these 9 patients and their 25 mutation carrier relatives was embedded in a common haplotype defined after genotyping 4 polymorphic markers on each side of the mybpc3 gene. this result supports the hypothesis of a common ancestor. furthermore, we evaluated that the mutation occurred about 47 generations ago, approximately at the 10th century.we then compared the clinical profile of the ivs20-2 mutation carriers (group a) and the carriers of all other mutations (group b). age at onset of symptoms was similar in the 34 group a cases and the 73 group b cases but group a cases were diagnosed on average 15 years later (log rank test p = 0.022). age of first complication and first severe complication was delayed in group a vs group b cases but the prevalence of sudden death and age at death was similar in both groups. a founder mutation arising at about the 10th century in the mybpc3 gene accounts for 8.4% of all hcm in center east france and results in a cardiomyopathy starting late and evolving slowly but with an apparent risk of sudden death similar to other sarcomeric mutations.	-1
molecular and functional characterization of a human frataxin mutation found in hypertrophic cardiomyopathy.  hypertrophic cardiomyopathy is associated with marked genetic and phenotypic heterogeneity. pathogenic mutations in the 10 hypertrophic cardiomyopathy-associated sarcomeric genes cause autosomal dominant disease as a rule, although recessive disease has been reported. cardiac hypertrophy is also a hallmark of friedreich ataxia, an autosomal recessive disease caused by deficiency of the mitochondrial protein frataxin. we hypothesized that heterozygous mutations in frataxin may mimic or modify hypertrophic cardiomyopathy. using dhplc and dna sequencing, we identified the novel r40c-frataxin mutation in a patient who also harbored a previously reported r810h-myosin binding protein c mutation. the r810h mutation is reported to cause hypertrophic cardiomyopathy only in the setting of homozygosity or compound heterozygosity with another sarcomeric mutation. site-directed mutagenesis and in vitro and in vivo analysis enabled functional characterization of the mutant frataxin protein. r40c-frataxin protein is not cleaved to the mature form in vitro and shows delayed kinetics of cleavage by isolated mouse mitochondria. yeast cells expressing r40c-frataxin demonstrated increased sensitivity to oxidative stress and abnormal accumulation of precursor frataxin protein. these data indicate that frataxin deficiency may have contributed to this patient's particular phenotype. furthermore, these findings suggest that mutations altering myocyte energetics may act in synergy with sarcomeric mutations to cause hypertrophic cardiomyopathy.	-1
clinical impact of the alpha-galactosidase a gene single nucleotide polymorphism -10c>t: a single-center observational study.  single nucleotide polymorphisms (snps) in the alpha-galactosidase a gene region (gla) have been discussed as potential cause of symptoms and organ manifestations similarly to those seen in fabry disease (fd). however, due to scarce data, clinical implications remain limited. the aim of the present study was to investigate the clinical impact of -10c>t snp in the gla.prospective single-center observational study to determine the natural history and outcome of fd.subjects initially referred to the fabry center for interdisciplinary therapy wrzburg (fazit) for management of suspected fd (11 women, 2 men, mean age 42  10 years) who were tested negative for coding gla mutations but positive for the noncoding -10c>t snp underwent comprehensive characterization for therapy recommendation.all subjects reported at least 1 neurological, but no cardiac or renal symptoms. in 7 patients, pain of unknown etiology was reported and 3 patients had a history of cryptogenic stroke. in all patients, ?-gal activity was at a lower limit, ranging between 0.27 and 0.45 nmol/min per mg protein (reference: 0.4-1.0), while plasma lyso-gb3 levels remained normal (range 0.39  0.33; reference: ?0.9 ng/ml). for both hemizygous subjects investigated, brain magnetic resonance imaging revealed unspecific white matter lesions. one of these subjects had suffered from severe early-onset stroke, the other showed mild hypertrophic cardiomyopathy.presence of isolated heterozygous -10c >t snp is not associated with clinically relevant symptoms or organ manifestations as seen in fd. respective polymorphisms might, however, play a role in modifying disease severity in fd. great care has to be taken in respective subjects suspected to suffer from nonclassical fd in order to prevent unnecessary fabry-specific therapy.	-1
